"name","lng","lat"
"Waterfront City, Docklands",144.937308878399,-37.814148018233
"Arts Precinct",144.968709481939,-37.820228405985
"Federation Square",144.967909588446,-37.817327692699
"Docklands Stadium & Victoria Harbour",144.946419019713,-37.818327272015
"Sports Precinct",144.981578214671,-37.818586324179
"William Street",144.959336570717,-37.818131954581
"Lygon Street Precinct",144.967216922135,-37.799062870839
"Queen Victoria Market",144.955655006563,-37.807718830915
"Southbank & Yarra River",144.96138798151,-37.821179258026
"University of Melbourne",144.960580435349,-37.800052147993
"Melbourne Museum and Carlton Gardens",144.969268527626,-37.804705788845
"Chinatown Precinct",144.97089160581,-37.812791473531
"The Shrine and Royal Botanic Gardens",144.974126576746,-37.829329359335
